EcoRestore_approximate_location,Reach,Latitude,Longitude,Date,Time_of_Day,sm_boat,med_boat,lrg_boat,bank_angler,scientist,cars,notes
"Decker Island","Brannan to Decker Island",38.105872,-121.70638,2017-07-07,"unknown",0,2,0,1,0,0,"no notes"
"Decker Island","Decker Island to Rio Vista",38.105872,-121.70638,2017-07-07,"unknown",0,4,0,3,0,0,"no notes"
"Decker Island","Decker Island",38.084557,-121.720411,2017-07-07,"unknown",0,0,0,0,0,0,"Nobody or traces on Decker"
"Decker Island","Decker Island (horseshoe bend)",38.084557,-121.720411,2017-09-13,"unknown",0,1,0,0,0,0,"1 trail"
"Decker Island","Brannan to Decker Island",38.105872,-121.70638,2017-11-07,"unknown",2,10,1,0,0,0,"no notes"
"Decker Island","Decker Island to Rio Vista",38.105872,-121.70638,2017-11-07,"unknown",0,0,0,0,0,0,"no notes"
"Decker Island","Decker Island",38.084557,-121.720411,2017-11-07,"unknown",0,0,0,0,0,0,"1 caretaker in car from DI aggregate; lotsof fishermen and one barge"
"Decker Island","Brannan to Decker Island",38.105872,-121.70638,2017-12-08,"morning",7,1,0,0,0,0,"no notes"
"Decker Island","Decker Island to Rio Vista",38.105872,-121.70638,2017-12-08,"morning",1,2,0,2,0,0,"no notes"
"Decker Island","Decker Island",38.084557,-121.720411,2017-12-08,"morning",0,0,0,0,0,0,"n/a"
"SW Suisun Marsh","Nurse Slough",38.192684,-121.912312,2017-08-08,"morning",0,1,0,0,0,0,"no notes"
"SW Suisun Marsh","Montezuma",38.135461,-121.91337,2017-08-08,"morning",0,6,0,5,0,0,"no notes"
"Grizzly Bay","Grizzly Bay",38.11572,-122.030558,2017-08-08,"morning",0,1,0,0,0,0,"no notes"
"Grizzly Bay","Pittsburgh to Grizzly Bay",38.061702,-121.972139,2017-09-11,"unknown",0,2,1,0,0,0,"1 duck blind"
"Grizzly Bay","Grizzly Bay to Winters Island",38.049536,-121.880422,2017-09-11,"unknown",0,8,4,0,0,0,"no notes"
"Grizzly Bay","Grizzly bay and Broad Slough",38.053097,-121.842422,2017-10-15,"unknown",1,19,3,0,0,0,"no notes"
"Grizzly Bay","Grizzly Bay",38.11572,-122.030558,2017-10-15,"unknown",0,0,0,0,0,0,"5 duck blinds"
"Grizzly Bay","Pittsburgh Marina",38.041532,-121.885449,2017-10-15,"unknown",0,0,0,9,0,0,"no notes"
"Grizzly Bay","Pittsburgh to Grizzly Bay",38.061702,-121.972139,2017-11-02,"morning",0,3,9,2,0,0,"6 duck blinds"
"Grizzly Bay","Grizzly Bay to Browns Island",38.049851,-121.876514,2017-11-02,"morning",1,17,1,0,0,0,"no notes"
